label,rank,smiles,Stoi,cbs_enthalpy,hf_cal,hf_pred,M/V,nu_sig,rho,Hf(P),Q_pred,Q_cal,V,MW,Pe_pred,Pe_cal,Q_det,OB%,D,P,nu_mwfn,h50,IS,M_over_V_mwfn,mwfn_status,fchk_index
cand_001,1,C1([N+]([O-])=O)=NN=NN1/[N+]([O-])=N/C2=NN=NN2(N=[N+]=[N-]),C2N14O3,-1066.5559,358.04760699999997,361.099451788585,1.8226,38.13982,1.824785076,-141.08046168,1.873036863483589,1.8616540549774352,0.7104733131923464,268.11,1.3307,1.3227,1861.654054977434,-5.967699824698817,9.387084374358752,39.40738671288714,0.205335,60.5769,60.5769,1.822600,SUCCESS,1
cand_002,2,C1(N[N+]([O-])=O)=NN=NN1/[N+]([O-])=N/N2C(N[N+]([O-])=O)=NN=N2,C2H2N14O5,-1217.9837539999999,290.938353,292.438054559483,1.8528,49.893,1.88542664,-245.90610322,1.7818295362244172,1.776865773739781,0.741733690795353,302.13,1.3216,1.318,1776.865773739781,0.0,9.65246133081764,42.47334408940322,0.146240,31.0449,31.0449,1.852800,SUCCESS,2
cand_003,3,C1=NN=NN1NNC2=NN=NN2(N=[N+]=[N-]),C2H3N13,-788.407815,327.57203599999997,323.935638842653,1.6422,58.566959999999995,1.716319748,0.0,1.5489678135258118,1.5663560273514083,0.8572658155214459,209.13,1.3279,1.3428,1566.356027351408,-42.07908956151676,8.806803508935232,33.421491335986126,0.228085,124.3099,124.3099,1.642200,SUCCESS,3
cand_004,4,C1(N[N+]([O-])=O)=NN=NN1/[N+]([O-])=N/C2=NN=NN2(N[N+]([O-])=O),C2H2N14O5,-1217.991192,286.270938,291.094764950471,1.8459,44.18642,1.8631119459999999,-245.90610322,1.777383471255655,1.761417407142621,0.741733690795353,302.13,1.3183,1.3065,1761.417407142621,0.0,9.550452192631175,41.293235183164185,0.123243,29.8675,29.8675,1.845900,SUCCESS,4
cand_005,5,N1=C(N(N=[N+]=[N-])N=N1)NNC2=NN=NN2(N=[N+]=[N-]),C2H2N16,-951.785384,413.263949,411.048887469116,1.6869999999999998,47.39271,1.7261716880000002,0.0,1.6432753156996718,1.6521306028623968,0.8063084672583354,250.14,1.325,1.3321,1652.130602862397,-31.98209002958344,8.870826211027538,34.029292893523156,0.237136,177.1307,177.1307,1.687000,SUCCESS,5
cand_006,6,N1=C(N(N=[N+]=[N-])N=N1)/[N+]([O-])=N/C2=NN=NN2(N=[N+]=[N-]),C2N16O1,-1025.667725,436.265307,436.541654030436,1.7654,38.37232,1.772909316,-47.02682056,1.830797238444841,1.8297509845909208,0.721178964903646,264.13,1.3203,1.3196,1829.750984590921,-18.17286942036118,9.084297609464244,36.273945408143284,0.223311,104.5504,104.5504,1.765400,SUCCESS,6
cand_007,7,N1=C(N([N+]([O-])=O)N=N1)/[N+]([O-])=N/C2=NN=NN2(N=[N+]=[N-]),C2N14O3,-1066.559144,356.01196600000003,356.40248559941904,1.8223,52.3746,1.86436697,-141.08046168,1.8555180607937751,1.8540614959531532,0.7104733131923464,268.11,1.3183,1.3173,1854.061495953153,-5.967699824698817,9.520589195235782,41.05155120498271,0.237655,180.9214,180.9214,1.822300,SUCCESS,7
cand_008,8,N1=C(N(N[N+]([O-])=O)N=N1)/[N+]([O-])=N/C2=NN=NN2(N=[N+]=[N-]),C2H1N15O3,-1121.825384,363.82491,364.604011085696,1.8075,51.28833,1.847734574,-146.46646189,1.8050735456352067,1.8023218023169567,0.7321460106664782,283.13,1.3216,1.3196,1802.321802316957,-8.476671493660156,9.441667549429852,40.1623057359839,0.166772,34.0562,34.0562,1.807500,SUCCESS,8
cand_009,9,N1=C(N(N[N+]([O-])=O)N=N1)/[N+]([O-])=N/C2=NN=NN2(N[N+]([O-])=O),C2H2N14O5,-1217.983173,291.302936,292.124254390376,1.8371,35.88581,1.831789198,-245.90610322,1.7807909099075758,1.7780724827723169,0.741733690795353,302.13,1.3209,1.3189,1778.0724827723168,0.0,9.459038305323961,40.10472886564635,0.098129,29.4665,29.4665,1.837100,SUCCESS,9
cand_010,10,C1([N+]([O-])=O)=NN=NN1/[N+]([O-])=N/N2N=CN=N2,C2H1N11O3,-903.1831970000001,269.302233,271.892443453514,1.8018,23.97148,1.7660130840000001,-146.46646189,1.8421792397336594,1.83077364548657,0.7154227212681638,227.1,1.3179,1.3098,1830.7736454865699,-10.568031704095109,9.111290881105814,36.40375490254206,0.140300,30.6055,30.6055,1.801800,SUCCESS,10
cand_011,11,C1(N[N+]([O-])=O)=NN=NN1/[N+]([O-])=N/C2=NN=NN2(N=[N+]=[N-]),C2H1N15O3,-1121.825526,363.73580400000003,362.81845606045897,1.8165,40.28399,1.8251871219999998,-146.46646189,1.798767060892378,1.8020070846960758,0.7321460106664782,283.13,1.317,1.3193,1802.0070846960762,-8.476671493660156,9.359910654833907,39.184683031433025,0.191978,45.5899,45.5899,1.816500,SUCCESS,11
cand_012,12,N1=NC=NN1NNC2=NN=NN2(N=[N+]=[N-]),C2H3N13,-788.413349,324.099399,321.847492383228,1.645,55.093059999999994,1.7091640680000002,0.0,1.538982892857208,1.549750867881222,0.8572658155214459,209.13,1.3193,1.3285,1549.750867881222,-42.07908956151676,8.758083059275965,32.967243579733484,0.240308,201.9027,201.9027,1.645000,SUCCESS,12
cand_013,13,C1=NN=NN1NNC2=NN(N=[N+]=[N-])N=N2,C2H3N13,-788.413688,323.886673,320.916474610552,1.6455,60.0209,1.72342117,0.0,1.5345310314663216,1.5487336728350782,0.8572658155214459,209.13,1.3155,1.3277,1548.733672835079,-42.07908956151676,8.807018673977446,33.50853200918193,0.234248,157.6781,157.6781,1.645500,SUCCESS,13
cand_014,14,N1=C(N(N=[N+]=[N-])N=N1)/[N+]([O-])=N/C2=NN(N[N+]([O-])=O)N=N2,C2H1N15O3,-1121.830045,360.900088,362.367886232863,1.7996,46.79418,1.827896384,-146.46646189,1.797175672386759,1.791991487620528,0.7321460106664782,283.13,1.3158,1.3119999999999998,1791.991487620528,-8.476671493660156,9.356638434753675,39.191728500650285,0.183411,40.0203,40.0203,1.799600,SUCCESS,14
cand_015,15,N1=C(N(N[N+]([O-])=O)N=N1)/[N+]([O-])=N/C2=NN(N[N+]([O-])=O)N=N2,C2H2N14O5,-1217.990834,286.495586,290.138940524365,1.8401,31.87895,1.82332489,-245.90610322,1.7742198515353158,1.762160954622182,0.741733690795353,302.13,1.3159999999999998,1.3071,1762.160954622182,0.0,9.407092517878507,39.55676569041498,0.104611,29.5284,29.5284,1.840100,SUCCESS,15
