pair_id,candidate_id,neighbor_id,context_smiles,candidate_frag,neighbor_frag,d_Hf,d_Q,d_OBgood,d_Pe,d_D,d_P,d_IS,d_nu
0,cand_061,cand_028,[*:1]/N=[N+](/[O-])c1nnn(N[N+](=O)[O-])n1,[*:1]c1nnn(N=[N+]=[N-])n1,[*:1]c1nnn(N[N+](=O)[O-])n1,-74.3066,-28.4938,8.47667,-0.0041,-0.00628501,-0.320522,-45.7328,
0,cand_028,cand_061,[*:1]/N=[N+](/[O-])c1nnn(N[N+](=O)[O-])n1,[*:1]c1nnn(N[N+](=O)[O-])n1,[*:1]c1nnn(N=[N+]=[N-])n1,74.3066,28.4938,-8.47667,0.0041,0.00628501,0.320522,45.7328,
48,cand_031,cand_015,[*:1]/N=[N+](/[O-])c1nnnn1N[N+](=O)[O-],[*:1]c1nnn(N=[N+]=[N-])n1,[*:1]c1nnn(N[N+](=O)[O-])n1,-72.7247,-23.8974,8.47667,-0.0006,0.10846,1.02532,-14.4795,
48,cand_015,cand_031,[*:1]/N=[N+](/[O-])c1nnnn1N[N+](=O)[O-],[*:1]c1nnn(N[N+](=O)[O-])n1,[*:1]c1nnn(N=[N+]=[N-])n1,72.7247,23.8974,-8.47667,0.0006,-0.10846,-1.02532,14.4795,
6,cand_029,cand_006,[*:1]/N=[N+](/[O-])c1nnnn1N=[N+]=[N-],[*:1]c1nnn(N=[N+]=[N-])n1,[*:1]c1nnnn1N=[N+]=[N-],3.42557,12.9693,0,0.0094,-0.00685105,-0.134503,-166.592,
6,cand_006,cand_029,[*:1]/N=[N+](/[O-])c1nnnn1N=[N+]=[N-],[*:1]c1nnnn1N=[N+]=[N-],[*:1]c1nnn(N=[N+]=[N-])n1,-3.42557,-12.9693,0,-0.0094,0.00685105,0.134503,166.592,
30,cand_031,cand_008,[*:1]/N=[N+](/[O-])c1nnnn1N[N+](=O)[O-],[*:1]c1nnn(N=[N+]=[N-])n1,[*:1]c1nnnn1N=[N+]=[N-],4.60466,16.2634,0,0.0119,0.143035,1.63086,-9.9517,
30,cand_008,cand_031,[*:1]/N=[N+](/[O-])c1nnnn1N[N+](=O)[O-],[*:1]c1nnnn1N=[N+]=[N-],[*:1]c1nnn(N=[N+]=[N-])n1,-4.60466,-16.2634,0,-0.0119,-0.143035,-1.63086,9.9517,
72,cand_030,cand_007,[*:1]/N=[N+](/[O-])c1nnnn1[N+](=O)[O-],[*:1]c1nnn(N=[N+]=[N-])n1,[*:1]c1nnnn1N=[N+]=[N-],4.46912,16.669,0,0.0119,0.104057,1.18257,20.113,
72,cand_007,cand_030,[*:1]/N=[N+](/[O-])c1nnnn1[N+](=O)[O-],[*:1]c1nnnn1N=[N+]=[N-],[*:1]c1nnn(N=[N+]=[N-])n1,-4.46912,-16.669,0,-0.0119,-0.104057,-1.18257,-20.113,
168,cand_058,cand_025,[*:1]/N=[N+](/[O-])n1nnc(N[N+](=O)[O-])n1,[*:1]c1nnn(N=[N+]=[N-])n1,[*:1]c1nnnn1N=[N+]=[N-],5.12424,18.0986,0,0.0132,0.177821,2.00931,15.0162,
168,cand_025,cand_058,[*:1]/N=[N+](/[O-])n1nnc(N[N+](=O)[O-])n1,[*:1]c1nnnn1N=[N+]=[N-],[*:1]c1nnn(N=[N+]=[N-])n1,-5.12424,-18.0986,0,-0.0132,-0.177821,-2.00931,-15.0162,
180,cand_057,cand_024,[*:1]/N=[N+](/[O-])n1nnc([N+](=O)[O-])n1,[*:1]c1nnn(N=[N+]=[N-])n1,[*:1]c1nnnn1N=[N+]=[N-],5.36897,20.0253,0,0.0142,0.0439163,0.431112,-28.3693,
180,cand_024,cand_057,[*:1]/N=[N+](/[O-])n1nnc([N+](=O)[O-])n1,[*:1]c1nnnn1N=[N+]=[N-],[*:1]c1nnn(N=[N+]=[N-])n1,-5.36897,-20.0253,0,-0.0142,-0.0439163,-0.431112,28.3693,
216,cand_056,cand_011,[*:1]/N=[N+](/[O-])n1nnnc1N[N+](=O)[O-],[*:1]c1nnn(N=[N+]=[N-])n1,[*:1]c1nnnn1N=[N+]=[N-],7.5389,26.627,0,0.0195,0.0208891,0.12582,2.7113,
216,cand_011,cand_056,[*:1]/N=[N+](/[O-])n1nnnc1N[N+](=O)[O-],[*:1]c1nnnn1N=[N+]=[N-],[*:1]c1nnn(N=[N+]=[N-])n1,-7.5389,-26.627,0,-0.0195,-0.0208891,-0.12582,-2.7113,
246,cand_021,cand_001,[*:1]/N=[N+](/[O-])n1nnnc1[N+](=O)[O-],[*:1]c1nnn(N=[N+]=[N-])n1,[*:1]c1nnnn1N=[N+]=[N-],4.7697,17.7901,0,0.0127,0.120509,1.34695,16.7843,
246,cand_001,cand_021,[*:1]/N=[N+](/[O-])n1nnnc1[N+](=O)[O-],[*:1]c1nnnn1N=[N+]=[N-],[*:1]c1nnn(N=[N+]=[N-])n1,-4.7697,-17.7901,0,-0.0127,-0.120509,-1.34695,-16.7843,
102329466,cand_027,cand_022,[*:1]NNc1nnn(N=[N+]=[N-])n1,[*:1]c1nnn(N=[N+]=[N-])n1,[*:1]c1nnnn1N=[N+]=[N-],3.88366,15.5259,0,0.0125,0.151282,1.59681,85.5172,
102329466,cand_022,cand_027,[*:1]NNc1nnn(N=[N+]=[N-])n1,[*:1]c1nnnn1N=[N+]=[N-],[*:1]c1nnn(N=[N+]=[N-])n1,-3.88366,-15.5259,0,-0.0125,-0.151282,-1.59681,-85.5172,
106865106,cand_022,cand_005,[*:1]NNc1nnnn1N=[N+]=[N-],[*:1]c1nnn(N=[N+]=[N-])n1,[*:1]c1nnnn1N=[N+]=[N-],2.2515,9.00098,0,0.0072,-0.0332365,-0.411259,-67.1116,
106865106,cand_005,cand_022,[*:1]NNc1nnnn1N=[N+]=[N-],[*:1]c1nnnn1N=[N+]=[N-],[*:1]c1nnn(N=[N+]=[N-])n1,-2.2515,-9.00098,0,-0.0072,0.0332365,0.411259,67.1116,
12,cand_029,cand_006,[*:1]/N=[N+](/[O-])c1nnnn1N=[N+]=[N-].[*:2]N=[N+]=[N-],[*:1]c1nnn([*:2])n1,[*:1]c1nnnn1[*:2],3.42557,12.9693,0,0.0094,-0.00685105,-0.134503,-166.592,
12,cand_006,cand_029,[*:1]/N=[N+](/[O-])c1nnnn1N=[N+]=[N-].[*:2]N=[N+]=[N-],[*:1]c1nnnn1[*:2],[*:1]c1nnn([*:2])n1,-3.42557,-12.9693,0,-0.0094,0.00685105,0.134503,166.592,
54,cand_031,cand_008,[*:1]/N=[N+](/[O-])c1nnnn1N[N+](=O)[O-].[*:2]N=[N+]=[N-],[*:1]c1nnn([*:2])n1,[*:1]c1nnnn1[*:2],4.60466,16.2634,0,0.0119,0.143035,1.63086,-9.9517,
54,cand_008,cand_031,[*:1]/N=[N+](/[O-])c1nnnn1N[N+](=O)[O-].[*:2]N=[N+]=[N-],[*:1]c1nnnn1[*:2],[*:1]c1nnn([*:2])n1,-4.60466,-16.2634,0,-0.0119,-0.143035,-1.63086,9.9517,
