candidate_id,n_pairs_total,n_pairs_vs_candidate,n_pairs_vs_database,n_unique_neighbors,n_unique_cand_frags,n_Hf,mean_d_Hf,median_d_Hf,std_d_Hf,frac_pos_d_Hf,n_Q,mean_d_Q,median_d_Q,std_d_Q,frac_pos_d_Q,n_OBgood,mean_d_OBgood,median_d_OBgood,std_d_OBgood,frac_pos_d_OBgood,n_Pe,mean_d_Pe,median_d_Pe,std_d_Pe,frac_pos_d_Pe,n_D,mean_d_D,median_d_D,std_d_D,frac_pos_d_D,n_P,mean_d_P,median_d_P,std_d_P,frac_pos_d_P,n_IS,mean_d_IS,median_d_IS,std_d_IS,frac_pos_d_IS,n_nu,mean_d_nu,median_d_nu,std_d_nu,frac_pos_d_nu
cand_001,1464,34,1430,1286,10,1464,-71.857,-75.0626,48.6684,0.0881148,1464,-297.22,-295.908,112.021,0,1464,-33.1318,-31.8484,15.481,0.00136612,1464,-0.225304,-0.22805,0.0736577,0,1464,-0.980025,-0.954306,0.419657,0.00409836,1464,-8.48827,-8.33357,3.67237,0.00409836,1464,79.2146,55.1183,91.4608,0.715847,0,,,,
cand_002,3502,22,3480,1021,10,3502,-70.652,-74.1384,48.8843,0.100228,3502,-224.228,-224.669,93.8457,0.00542547,3502,-28.0648,-27.0636,13.7767,0,3502,-0.209112,-0.2041,0.0661058,0.00256996,3502,-0.923954,-0.882572,0.414727,0,3502,-8.46412,-8.1344,3.83464,0,3502,36.3612,14.2575,50.9294,0.899486,0,,,,
cand_003,903,30,873,630,10,903,-58.9105,-63.332,49.6288,0.135105,903,-238.67,-232.145,163.28,0.0598007,903,-26.3879,-25.0998,20.5881,0.0741971,903,-0.266994,-0.2595,0.100865,0,903,-0.94938,-0.911529,0.475401,0.0265781,903,-7.37768,-7.18834,3.79424,0.0321152,903,78.6173,88.3714,86.0861,0.782946,0,,,,
cand_004,3549,33,3516,2054,13,3549,-64.0566,-69.0109,48.7462,0.116653,3549,-199.889,-201.749,95.059,0.0194421,3549,-27.6832,-26.6533,13.9696,0,3549,-0.191547,-0.1881,0.0655381,0.00507185,3549,-0.814862,-0.765788,0.414921,0.00619893,3549,-7.25702,-6.83682,3.81686,0.00958016,3549,30.3718,11.999,44.9756,0.963652,0,,,,
cand_005,1290,25,1265,725,8,1290,-69.0373,-65.3339,64.5301,0.129457,1290,-196.586,-171.837,156.941,0.0821705,1290,-23.0915,-20.6149,18.8185,0.0736434,1290,-0.211607,-0.2102,0.0704215,0.00155039,1290,-0.722034,-0.673289,0.40945,0.0248062,1290,-5.6551,-5.36295,3.48292,0.0379845,1290,30.8188,44.5667,83.1462,0.645736,0,,,,
cand_006,1105,21,1084,496,7,1105,-67.9808,-74.2153,50.0982,0.108597,1105,-307.928,-299.034,131.023,0.00542986,1105,-31.7747,-30.6541,16.489,0.0144796,1105,-0.206816,-0.2057,0.0694543,0.00723982,1105,-0.879127,-0.856413,0.385501,0.0126697,1105,-7.36037,-7.21868,3.32399,0.0144796,1105,107.076,122.595,81.5241,0.843439,0,,,,
cand_007,1478,26,1452,1293,8,1478,-69.5294,-74.187,49.4874,0.108931,1478,-291.533,-291.425,110.725,0.00270636,1478,-33.1912,-31.8484,15.2034,0.00202977,1478,-0.222398,-0.2258,0.0694299,0.00811908,1478,-1.11245,-1.09581,0.408783,0,1478,-10.11,-9.9856,3.59616,0,1478,-29.1763,-45.6619,90.86,0.367388,0,,,,
cand_008,2201,35,2166,1560,12,2201,-68.6517,-73.2149,49.8486,0.0976829,2201,-243.546,-238.847,110.79,0.00954112,2201,-29.4956,-28.5143,15.2053,0.0104498,2201,-0.21,-0.2086,0.0680618,0.00136302,2201,-0.977592,-0.957582,0.406358,0.00272603,2201,-8.76086,-8.61454,3.60199,0.00181736,2201,104.855,82.774,89.2472,0.961381,0,,,,
cand_009,3579,31,3548,1039,11,3579,-67.5126,-73.3929,48.4587,0.108969,3579,-208.807,-210.637,94.6762,0.00977927,3579,-27.4366,-26.4752,14.0594,0,3579,-0.198963,-0.1959,0.0631674,0.00167645,3579,-0.720323,-0.657966,0.412243,0.0122939,3579,-6.07572,-5.60746,3.77571,0.0251467,3579,23.9011,9.5621,37.0407,0.993015,0,,,,
cand_010,390,6,384,379,7,390,-107.768,-114.922,45.6953,0.0153846,390,-448.195,-462.488,151.908,0.0025641,390,-46.4247,-44.4009,19.7964,0.00512821,390,-0.328258,-0.34025,0.10411,0,390,-1.2555,-1.22311,0.515135,0.0128205,390,-9.83662,-9.57331,4.10188,0.0153846,390,88.6411,54.0742,87.6416,0.961538,0,,,,
cand_011,2231,35,2196,1582,11,2231,-69.2276,-73.7358,49.8853,0.106679,2231,-249.136,-247.655,108.55,0.0107575,2231,-29.8262,-29.3394,15.0122,0.00851636,2231,-0.213778,-0.2139,0.0682836,0.00448229,2231,-0.905735,-0.889642,0.405881,0.0103093,2231,-7.85218,-7.76705,3.60901,0.0129987,2231,100.66,78.2399,90.9829,0.868221,0,,,,
cand_012,922,25,897,639,9,922,-57.2211,-63.0294,49.096,0.146421,922,-233.741,-234.18,161.976,0.0780911,922,-26.8292,-25.0998,20.1391,0.0748373,922,-0.257053,-0.2521,0.0971501,0.00542299,922,-0.926812,-0.90223,0.460844,0.0281996,922,-7.15914,-7.04576,3.689,0.0292842,922,-9.79733,-3.6116,88.5119,0.4859,0,,,,
cand_013,891,14,877,627,9,891,-59.7574,-60.7467,48.8428,0.118967,891,-229.81,-216.793,160.582,0.0684624,891,-26.3736,-24.2769,20.2965,0.0684624,891,-0.261935,-0.2526,0.0991372,0.003367,891,-0.968997,-0.915742,0.46459,0.0123457,891,-7.5967,-7.40631,3.67942,0.016835,891,39.6743,52.0493,83.4761,0.664422,0,,,,
cand_014,2188,19,2169,1560,10,2188,-65.926,-71.0351,49.6058,0.112888,2188,-235.579,-232.627,106.095,0.00914077,2188,-29.6198,-28.5143,14.8923,0.00731261,2188,-0.204904,-0.2035,0.0644418,0.00274223,2188,-0.901304,-0.874759,0.397795,0.00776965,2188,-7.86709,-7.66819,3.54307,0.00731261,2188,94.0636,67.2574,90.0738,0.862431,0,,,,
