candidate_id,candidate_frag,chemotype,n_pairs,n_distinct_neighbor_frags,n_Hf,mean_d_Hf,median_d_Hf,std_d_Hf,frac_pos_d_Hf,n_Q,mean_d_Q,median_d_Q,std_d_Q,frac_pos_d_Q,n_OBgood,mean_d_OBgood,median_d_OBgood,std_d_OBgood,frac_pos_d_OBgood,n_Pe,mean_d_Pe,median_d_Pe,std_d_Pe,frac_pos_d_Pe,n_D,mean_d_D,median_d_D,std_d_D,frac_pos_d_D,n_P,mean_d_P,median_d_P,std_d_P,frac_pos_d_P,n_IS,mean_d_IS,median_d_IS,std_d_IS,frac_pos_d_IS,n_nu,mean_d_nu,median_d_nu,std_d_nu,frac_pos_d_nu
cand_001,[*:1]/N=[N+](/[O-])n1nnnc1[*:2],azoxy,917,917,917,-71.3196,-74.6476,48.6196,0.0992366,917,-306.999,-307.321,110.606,0,917,-34.0518,-33.555,14.8978,0,917,-0.226402,-0.2286,0.0673545,0,917,-0.983145,-0.962785,0.393689,0.00218103,917,-8.50519,-8.37735,3.46788,0.00218103,917,103.242,94.0588,90.0321,0.834242,0,,,,
cand_001,[*:2]n1nnnc1/N=[N+](/[*:1])[O-],azoxy,384,384,384,-71.0514,-70.3776,45.8347,0.0598958,384,-295.536,-284.042,100.019,0,384,-33.4863,-32.8472,15.4127,0.00260417,384,-0.229118,-0.2221,0.0682465,0,384,-1.01398,-0.989664,0.418614,0,384,-8.8099,-8.566,3.65854,0,384,48.7991,13.7128,82.2961,0.578125,0,,,,
cand_001,[*:1]n1nnnc1/N=[N+](/[*:2])[O-],azoxy,141,141,141,-87.6196,-94.9576,49.7574,0.0496454,141,-276.033,-279.808,114.921,0,141,-30.5398,-27.6274,16.1358,0.0070922,141,-0.240823,-0.2519,0.0831893,0,141,-1.00165,-0.868573,0.471191,0,141,-8.65011,-7.43069,4.03922,0,141,16.6851,-13.2395,64.9923,0.390071,0,,,,
cand_001,[*:1]n1nnnc1[N+](=O)[O-],nitro,8,8,8,7.78167,0.03129,29.2609,0.5,8,-49.3383,-59.4896,26.8383,0,8,-7.24924,-2.50897,8.27581,0,8,-0.0101125,-0.0086,0.00757202,0,8,-0.135016,-0.0284096,0.227302,0.25,8,-1.26852,-0.250924,2.36463,0.25,8,39.751,-3.0662,87.999,0.5,0,,,,
cand_001,[*:1]c1nnnn1[*:2],azole_ring,5,4,5,0.870126,2.09822,5.2164,0.6,5,-45.1338,-59.3323,26.0532,0,5,-1.50538,-2.50897,1.37422,0,5,-0.00874,-0.0118,0.00502623,0,5,-0.0290228,-0.0271737,0.062064,0.2,5,-0.240211,-0.222704,0.747442,0.2,5,-17.9646,-16.7843,5.64144,0,0,,,,
cand_001,[*:1]c1nnnn1N=[N+]=[N-],azide,3,3,3,-33.3934,-8.26806,46.5808,0,3,-54.7385,-30.8383,53.0987,0,3,-2.4163,0,4.18515,0,3,-0.0215,-0.022,0.00856096,0,3,-0.143183,-0.126382,0.0343117,0,3,-1.48067,-1.34695,0.481795,0,3,-22.9627,-24.6229,5.53823,0,0,,,,
cand_001,[*:2]c1nnnn1[*:1],azole_ring,2,2,2,-5.15185,-5.15185,4.40699,0,2,-19.2154,-19.2154,16.4372,0,2,0,0,0,0,2,-0.0137,-0.0137,0.011738,0,2,-0.024576,-0.024576,0.22356,0.5,2,-0.18552,-0.18552,2.58756,0.5,2,46.432,46.432,104.529,0.5,0,,,,
cand_001,[*:1][N+](=O)[O-],nitro,2,2,2,-2.7699,-2.7699,11.9616,0.5,2,-65.992,-65.992,8.97311,0,2,-10.8199,-10.8199,11.7535,0,2,-0.01155,-0.01155,0.0115258,0,2,-0.230343,-0.230343,0.287325,0,2,-2.26134,-2.26134,2.88307,0,2,-4.7435,-4.7435,14.4865,0.5,0,,,,
cand_001,[*:1]N=[N+]=[N-],azide,1,1,1,-87.1423,-87.1423,0,0,1,-115.587,-115.587,0,0,1,-7.24889,-7.24889,0,0,1,-0.0298,-0.0298,0,0,1,-0.126382,-0.126382,0,0,1,-1.07986,-1.07986,0,0,1,-24.6229,-24.6229,0,0,0,,,,
cand_001,[*:1]/N=[N+](\[*:2])[O-],azoxy,1,1,1,-23.9382,-23.9382,0,0,1,-134.447,-134.447,0,0,1,-12.9203,-12.9203,0,0,1,-0.0281,-0.0281,0,0,1,-0.318505,-0.318505,0,0,1,-3.14112,-3.14112,0,0,1,-12.503,-12.503,0,0,0,,,,
cand_002,[*:1]/N=[N+](/[O-])n1nnnc1N[*:2],azoxy,1141,1141,1141,-72.9464,-75.8584,48.965,0.0981595,1141,-220.59,-221.681,95.1701,0.00613497,1141,-28.0604,-27.0636,13.7031,0,1141,-0.212531,-0.2089,0.0661588,0.00175285,1141,-0.928385,-0.888637,0.411982,0,1141,-8.49254,-8.14936,3.80588,0,1141,38.0968,14.7102,53.1801,0.90447,0,,,,
cand_002,[*:2]Nc1nnnn1/N=[N+](/[*:1])[O-],azoxy,616,616,616,-58.902,-64.2684,42.9347,0.13961,616,-219.539,-218.774,88.3171,0.00649351,616,-29.5793,-28.2204,13.5641,0,616,-0.196844,-0.1952,0.0558923,0,616,-0.92941,-0.895603,0.395577,0,616,-8.57036,-8.28364,3.68541,0,616,42.6393,18.6761,55.4871,0.931818,0,,,,
cand_002,[*:1]/N=[N+](/[O-])n1nnnc1[*:2],azoxy,606,606,606,-66.92,-69.7934,48.0659,0.10231,606,-232.484,-233.664,89.5578,0.00330033,606,-28.2155,-27.0636,13.858,0,606,-0.203953,-0.19755,0.0640256,0.00330033,606,-0.919446,-0.871643,0.418834,0,606,-8.4412,-8.12138,3.88513,0,606,33.3167,13.4292,46.4013,0.894389,0,,,,
