candidate_id,n_pairs,corr_Hf_Q,n_Hf_Q,corr_Hf_OBgood,n_Hf_OBgood,corr_Hf_Pe,n_Hf_Pe,corr_Hf_D,n_Hf_D,corr_Hf_P,n_Hf_P,corr_Hf_IS,n_Hf_IS,corr_Hf_nu,n_Hf_nu,corr_Q_OBgood,n_Q_OBgood,corr_Q_Pe,n_Q_Pe,corr_Q_D,n_Q_D,corr_Q_P,n_Q_P,corr_Q_IS,n_Q_IS,corr_Q_nu,n_Q_nu,corr_OBgood_Pe,n_OBgood_Pe,corr_OBgood_D,n_OBgood_D,corr_OBgood_P,n_OBgood_P,corr_OBgood_IS,n_OBgood_IS,corr_OBgood_nu,n_OBgood_nu,corr_Pe_D,n_Pe_D,corr_Pe_P,n_Pe_P,corr_Pe_IS,n_Pe_IS,corr_Pe_nu,n_Pe_nu,corr_D_P,n_D_P,corr_D_IS,n_D_IS,corr_D_nu,n_D_nu,corr_P_IS,n_P_IS,corr_P_nu,n_P_nu,corr_IS_nu,n_IS_nu
cand_001,1464,0.599191,1464,0.264333,1464,0.701564,1464,0.338682,1464,0.286873,1464,0.13337,1464,,0,0.793635,1464,0.776792,1464,0.788031,1464,0.760327,1464,-0.274621,1464,,0,0.56985,1464,0.963978,1464,0.967357,1464,-0.51484,1464,,0,0.70021,1464,0.65133,1464,-0.209126,1464,,0,0.996963,1464,-0.491616,1464,,0,-0.50281,1464,,0,,0
cand_002,3502,0.597706,3502,0.2407,3502,0.683672,3502,0.312537,3502,0.265033,3502,-0.0133151,3502,,0,0.766792,3502,0.857408,3502,0.787545,3502,0.75683,3502,-0.311735,3502,,0,0.623453,3502,0.970093,3502,0.970683,3502,-0.452139,3502,,0,0.727791,3502,0.684825,3502,-0.312197,3502,,0,0.997307,3502,-0.421958,3502,,0,-0.414673,3502,,0,,0
cand_003,903,0.522088,903,0.323845,903,0.826199,903,0.50738,903,0.436516,903,0.0468249,903,,0,0.882381,903,0.63219,903,0.852169,903,0.84702,903,-0.248774,903,,0,0.477419,903,0.935817,903,0.954609,903,-0.272067,903,,0,0.712506,903,0.641193,903,-0.0525358,903,,0,0.993732,903,-0.218562,903,,0,-0.246417,903,,0,,0
cand_004,3549,0.592357,3549,0.248997,3549,0.678566,3549,0.307839,3549,0.259442,3549,-0.0134105,3549,,0,0.775349,3549,0.856847,3549,0.784534,3549,0.754732,3549,-0.332365,3549,,0,0.656807,3549,0.974359,3549,0.973998,3549,-0.48182,3549,,0,0.742196,3549,0.700116,3549,-0.325875,3549,,0,0.997266,3549,-0.457186,3549,,0,-0.450798,3549,,0,,0
cand_005,1290,0.592936,1290,0.406991,1290,0.599693,1290,0.43986,1290,0.393531,1290,0.0349416,1290,,0,0.897737,1290,0.5072,1290,0.831496,1290,0.827785,1290,-0.12936,1290,,0,0.413414,1290,0.946475,1290,0.958106,1290,-0.161466,1290,,0,0.622942,1290,0.555832,1290,-0.0477337,1290,,0,0.995505,1290,-0.14208,1290,,0,-0.15483,1290,,0,,0
cand_006,1105,0.429786,1105,0.246946,1105,0.622178,1105,0.323499,1105,0.263439,1105,0.0364912,1105,,0,0.868853,1105,0.541765,1105,0.806354,1105,0.797614,1105,0.00182613,1105,,0,0.42312,1105,0.941755,1105,0.95294,1105,-0.00638011,1105,,0,0.635205,1105,0.570125,1105,-0.0682904,1105,,0,0.995645,1105,-0.0168431,1105,,0,-0.0182497,1105,,0,,0
cand_007,1478,0.586172,1478,0.246942,1478,0.685207,1478,0.304196,1478,0.250897,1478,0.179792,1478,,0,0.793989,1478,0.767884,1478,0.784059,1478,0.756377,1478,-0.239869,1478,,0,0.571649,1478,0.968794,1478,0.971259,1478,-0.508002,1478,,0,0.689181,1478,0.639101,1478,-0.188476,1478,,0,0.996939,1478,-0.5012,1478,,0,-0.516747,1478,,0,,0
cand_008,2201,0.581299,2201,0.277156,2201,0.686921,2201,0.335116,2201,0.284014,2201,0.110828,2201,,0,0.809636,2201,0.77169,2201,0.804206,2201,0.778842,2201,-0.266445,2201,,0,0.585851,2201,0.970519,2201,0.972877,2201,-0.530888,2201,,0,0.700056,2201,0.651213,2201,-0.245565,2201,,0,0.997033,2201,-0.524341,2201,,0,-0.533402,2201,,0,,0
cand_009,3579,0.581597,3579,0.24669,3579,0.671782,3579,0.294432,3579,0.245368,3579,0.00426995,3579,,0,0.781462,3579,0.85206,3579,0.781558,3579,0.753764,3579,-0.346773,3579,,0,0.684433,3579,0.978304,3579,0.977565,3579,-0.541182,3579,,0,0.755646,3579,0.7151,3579,-0.329718,3579,,0,0.997318,3579,-0.524931,3579,,0,-0.522669,3579,,0,,0
cand_010,390,0.734427,390,0.417183,390,0.85883,390,0.54445,390,0.489912,390,-0.0784076,390,,0,0.795406,390,0.840449,390,0.818349,390,0.789299,390,-0.369146,390,,0,0.610587,390,0.962815,390,0.969977,390,-0.555541,390,,0,0.753324,390,0.704038,390,-0.290443,390,,0,0.996144,390,-0.536845,390,,0,-0.545137,390,,0,,0
