candidate_id,role,frag_from,frag_to,chemotype_from,chemotype_to,layer,cross_layer,undirected_key,frag_ratio,n_pairs,global_n_support,composite_gated,composite_z,n_improve,n_worsen,has_tradeoff,has_local_evidence,z_Hf,sig_Hf,local_mean_d_Hf,z_Q,sig_Q,local_mean_d_Q,z_OBgood,sig_OBgood,local_mean_d_OBgood,z_Pe,sig_Pe,local_mean_d_Pe,z_D,sig_D,local_mean_d_D,z_P,sig_P,local_mean_d_P,z_IS,sig_IS,local_mean_d_IS,z_nu,sig_nu,local_mean_d_nu
cand_007,already_optimized,[*:1]c1nnn(C)n1,[*:1]c1nnnn1[N+](=O)[O-],azole_ring,nitro,scaffold,False,*c1nnn(C)n1||*c1nnnn1[N+](=O)[O-],0.400318,252,252,11.905,11.905,6,0,False,False,0.759678,True,,2.2692,True,,2.24534,True,,1.9263,True,,2.36052,True,,2.34398,True,,-1.15981,True,,,,
cand_030,already_optimized,[*:1]c1nnn(C)n1,[*:1]c1nnnn1[N+](=O)[O-],azole_ring,nitro,scaffold,False,*c1nnn(C)n1||*c1nnnn1[N+](=O)[O-],0.400318,252,252,11.905,11.905,6,0,False,False,0.759678,True,,2.2692,True,,2.24534,True,,1.9263,True,,2.36052,True,,2.34398,True,,-1.15981,True,,,,
cand_035,already_optimized,[*:1]c1nnn(C)n1,[*:1]n1nnnc1[N+](=O)[O-],azole_ring,nitro,scaffold,False,*c1nnn(C)n1||*n1nnnc1[N+](=O)[O-],0.396324,221,221,11.8673,11.8673,6,0,False,False,0.824043,True,,2.2804,True,,2.20206,True,,1.94474,True,,2.31254,True,,2.30355,True,,-1.43771,True,,,,
cand_033,already_optimized,[*:1]c1nnn(C)n1,[*:1]n1nnnc1[N+](=O)[O-],azole_ring,nitro,scaffold,False,*c1nnn(C)n1||*n1nnnc1[N+](=O)[O-],0.396324,221,221,11.8673,11.8673,6,0,False,False,0.824043,True,,2.2804,True,,2.20206,True,,1.94474,True,,2.31254,True,,2.30355,True,,-1.43771,True,,,,
cand_001,already_optimized,[*:1]c1nnn(C)n1,[*:1]n1nnnc1[N+](=O)[O-],azole_ring,nitro,scaffold,False,*c1nnn(C)n1||*n1nnnc1[N+](=O)[O-],0.396324,221,221,11.8673,11.8673,6,0,False,False,0.824043,True,,2.2804,True,,2.20206,True,,1.94474,True,,2.31254,True,,2.30355,True,,-1.43771,True,,,,
cand_021,already_optimized,[*:1]c1nnn(C)n1,[*:1]n1nnnc1[N+](=O)[O-],azole_ring,nitro,scaffold,False,*c1nnn(C)n1||*n1nnnc1[N+](=O)[O-],0.396324,221,221,11.8673,11.8673,6,0,False,False,0.824043,True,,2.2804,True,,2.20206,True,,1.94474,True,,2.31254,True,,2.30355,True,,-1.43771,True,,,,
cand_016,already_optimized,[*:1]c1nnn(C)n1,[*:1]n1nnnc1[N+](=O)[O-],azole_ring,nitro,scaffold,False,*c1nnn(C)n1||*n1nnnc1[N+](=O)[O-],0.396324,221,221,11.8673,11.8673,6,0,False,False,0.824043,True,,2.2804,True,,2.20206,True,,1.94474,True,,2.31254,True,,2.30355,True,,-1.43771,True,,,,
cand_010,already_optimized,[*:1]c1nnn(C)n1,[*:1]n1nnnc1[N+](=O)[O-],azole_ring,nitro,scaffold,False,*c1nnn(C)n1||*n1nnnc1[N+](=O)[O-],0.396324,221,221,11.8673,11.8673,6,0,False,False,0.824043,True,,2.2804,True,,2.20206,True,,1.94474,True,,2.31254,True,,2.30355,True,,-1.43771,True,,,,
cand_034,already_optimized,[*:1]c1nnn(C)n1,[*:1]n1nnnc1[N+](=O)[O-],azole_ring,nitro,scaffold,False,*c1nnn(C)n1||*n1nnnc1[N+](=O)[O-],0.396324,221,221,11.8673,11.8673,6,0,False,False,0.824043,True,,2.2804,True,,2.20206,True,,1.94474,True,,2.31254,True,,2.30355,True,,-1.43771,True,,,,
cand_037,already_optimized,[*:1]c1nnn(C)n1,[*:1]n1nnnc1[N+](=O)[O-],azole_ring,nitro,scaffold,False,*c1nnn(C)n1||*n1nnnc1[N+](=O)[O-],0.396324,221,221,11.8673,11.8673,6,0,False,False,0.824043,True,,2.2804,True,,2.20206,True,,1.94474,True,,2.31254,True,,2.30355,True,,-1.43771,True,,,,
