rule_id,frag_from,frag_to,chemotype_from,chemotype_to,radius,env_id,n_pairs_env,n_pairs_global,context_chemotypes,context_example,n_props_sign_flip_vs_global,mean_d_Hf,z_Hf,mean_d_Q,z_Q,mean_d_OBgood,z_OBgood,mean_d_Pe,z_Pe,mean_d_D,z_D,mean_d_P,z_P,mean_d_IS,z_IS
11,[*:1]c1nnnn1[*:2],[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,2441631,71,1293,hydrazo:50;azole_ring:50;amino:50;nitro:32,[*:1]C.[*:2]NNc1[nH]c([N+](=O)[O-])nc1C,6,-16.7724,-0.334366,-63.6438,-0.418662,0,0,-0.0538099,-0.683176,-0.0760949,-0.169258,-0.391701,-0.106078,5.52357,0.0540139
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,24782310,66,2457,azide:50;azo:50;azole_ring:50;nitro:33,[*:1]N=Nc1[nH]c(O)nc1C.[*:2]N=[N+]=[N-],6,-10.2694,-0.204725,-36.5528,-0.240452,0,0,-0.0267318,-0.33939,-0.0514958,-0.114542,-0.37112,-0.100504,-11.5396,-0.112843
11,[*:1]c1nnnn1[*:2],[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,5063766,42,1293,azoxy:42;azole_ring:42;nitro:30;azide:16,[*:1]C.[*:2][N+]([O-])=Nc1c(C)nc([N+](=O)[O-])n1N,6,-16.5074,-0.329083,-59.7505,-0.393051,0,0,-0.0440286,-0.558991,-0.0517095,-0.115017,-0.232686,-0.0630145,16.5992,0.16232
64,[*:1]Nc1nnn([*:2])n1,[*:1]Nn1nnc([*:2])n1,azole_ring,azole_ring,2,16481691,40,550,azole_ring:40;amino:40;nitro:22;hydroxyl:19,[*:2]N.[*:1]Nc1c(N)nc(N=[N+]=[N-])n1N,6,-4.85925,-0.0968715,-19.1042,-0.125672,0,0,-0.0164475,-0.208819,-0.0281811,-0.0626833,-0.16714,-0.0452636,5.06916,0.0495703
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,45051062,22,2457,azide:22;azoxy:22;azole_ring:22;nitro:16,[*:1]N=[N+]([O-])n1c(N)nc(N[N+](=O)[O-])c1[N+](=O)[O-].[*:2],6,-2.24136,-0.0446827,-7.65124,-0.0503314,0,0,-0.00562727,-0.0714445,-0.0484127,-0.107684,-0.479742,-0.12992,-36.7972,-0.359832
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,53605226,20,2457,azide:20;azoxy:20;azole_ring:20;nitro:15,[*:2]N=[N+]=[N-].[*:1][N+]([O-])=Nc1c(N)n[nH]c1N=[N+]=[N-],6,-3.2375,-0.0645411,-11.3185,-0.0744557,0,0,-0.0082,-0.104108,-0.0350353,-0.077929,-0.321103,-0.086959,-72.9783,-0.71364
60,[*:1]Nc1nnn([*:2])n1,[*:1]Nn1nnnc1[*:2],azole_ring,azole_ring,2,52815485,20,590,azide:20;azole_ring:20;amino:20;nitro:12,[*:2]N=[N+]=[N-].[*:1]Nn1c(N[N+](=O)[O-])nc(N)c1O,6,-4.96503,-0.0989803,-18.2388,-0.119979,0,0,-0.014155,-0.179713,-0.0317653,-0.0706555,-0.226201,-0.0612584,-6.2964,-0.0615713
29,[*:1]c1nnn([*:2])n1,[*:2]c1nnn([*:1])n1,azole_ring,azole_ring,2,45050988,19,1165,azoxy:19;nitro:19;azole_ring:19;hydroxyl:10,[*:1]N=[N+]([O-])n1c(N)nc(N=[N+]=[N-])c1O.[*:2][N+](=O)[O-],6,5.45421,0.108732,18.0863,0.118976,0,0,0.0125053,0.158768,-0.00249158,-0.00554202,-0.10442,-0.0282783,-23.5867,-0.230649
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,54128040,17,2457,azide:17;azole_ring:17;nitro:13;hydroxyl:7,[*:2]N=[N+]=[N-].[*:1]c1c(C)c(O)nn1C,6,-16.1582,-0.322122,-62.5005,-0.411141,0,0,-0.0438941,-0.557284,-0.142684,-0.317373,-1.1613,-0.314494,-44.1074,-0.431318
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,127317374,15,2457,nitro:15;azole_ring:15;hydroxyl:10;azide:8,[*:2][N+](=O)[O-].[*:1]c1c(C)c(O)nn1N,6,-2.56933,-0.0512209,-9.60479,-0.0631824,0,0,-0.00644,-0.0817629,-0.0463948,-0.103196,-0.440128,-0.119192,-49.9005,-0.487968
