layer,p1,p2,static_pearson,static_spearman,delta,n_delta,divergence
all,Hf,Q,0.551804,0.564877,0.540778,1873367,-0.0110255
all,Hf,OBgood,0.347106,0.338322,0.307263,1873367,-0.0398426
all,Hf,Pe,0.688255,0.704126,0.664875,1873367,-0.0233797
all,Hf,D,0.413479,0.403925,0.383298,1873367,-0.030181
all,Hf,P,0.362679,0.36131,0.330527,1873367,-0.032152
all,Hf,IS,0.0257602,0.00907551,-0.00472263,1873367,-0.0304829
all,Q,OBgood,0.902774,0.881476,0.858878,1873367,-0.0438955
all,Q,Pe,0.867146,0.848439,0.860597,1873367,-0.00654902
all,Q,D,0.898983,0.882079,0.856647,1873367,-0.0423359
all,Q,P,0.872704,0.863551,0.813026,1873367,-0.0596776
all,Q,IS,-0.390743,-0.43165,-0.248677,1873367,0.142066
all,OBgood,Pe,0.727817,0.700001,0.664455,1873367,-0.0633618
all,OBgood,D,0.973148,0.975886,0.956708,1873367,-0.0164402
all,OBgood,P,0.971426,0.980082,0.94832,1873367,-0.0231062
all,OBgood,IS,-0.504443,-0.584311,-0.326231,1873367,0.178212
all,Pe,D,0.822524,0.791922,0.785713,1873367,-0.0368105
all,Pe,P,0.775295,0.753348,0.725417,1873367,-0.0498784
all,Pe,IS,-0.308445,-0.349613,-0.209554,1873367,0.0988908
all,D,P,0.994372,0.997822,0.991232,1873367,-0.00314027
all,D,IS,-0.49618,-0.56357,-0.323685,1873367,0.172495
all,P,IS,-0.519958,-0.572362,-0.341953,1873367,0.178005
substituent,Hf,Q,0.551804,0.564877,0.530878,117952,-0.0209255
substituent,Hf,OBgood,0.347106,0.338322,0.348512,117952,0.00140639
substituent,Hf,Pe,0.688255,0.704126,0.653917,117952,-0.0343377
substituent,Hf,D,0.413479,0.403925,0.39423,117952,-0.019249
substituent,Hf,P,0.362679,0.36131,0.348912,117952,-0.013767
substituent,Hf,IS,0.0257602,0.00907551,-0.0433531,117952,-0.0691133
substituent,Q,OBgood,0.902774,0.881476,0.889337,117952,-0.0134365
substituent,Q,Pe,0.867146,0.848439,0.856427,117952,-0.010719
substituent,Q,D,0.898983,0.882079,0.844267,117952,-0.0547159
substituent,Q,P,0.872704,0.863551,0.799695,117952,-0.0730086
substituent,Q,IS,-0.390743,-0.43165,-0.277836,117952,0.112907
substituent,OBgood,Pe,0.727817,0.700001,0.739863,117952,0.0120462
substituent,OBgood,D,0.973148,0.975886,0.968369,117952,-0.00477921
substituent,OBgood,P,0.971426,0.980082,0.953326,117952,-0.0181002
substituent,OBgood,IS,-0.504443,-0.584311,-0.352735,117952,0.151708
substituent,Pe,D,0.822524,0.791922,0.809811,117952,-0.0127125
substituent,Pe,P,0.775295,0.753348,0.754937,117952,-0.0203584
substituent,Pe,IS,-0.308445,-0.349613,-0.249464,117952,0.0589808
substituent,D,P,0.994372,0.997822,0.991118,117952,-0.00325427
substituent,D,IS,-0.49618,-0.56357,-0.359966,117952,0.136214
substituent,P,IS,-0.519958,-0.572362,-0.381184,117952,0.138774
scaffold,Hf,Q,0.551804,0.564877,0.531525,77998,-0.0202785
scaffold,Hf,OBgood,0.347106,0.338322,0.353818,77998,0.00671239
scaffold,Hf,Pe,0.688255,0.704126,0.657585,77998,-0.0306697
scaffold,Hf,D,0.413479,0.403925,0.394284,77998,-0.019195
scaffold,Hf,P,0.362679,0.36131,0.347136,77998,-0.015543
scaffold,Hf,IS,0.0257602,0.00907551,0.0469505,77998,0.0211903
scaffold,Q,OBgood,0.902774,0.881476,0.907263,77998,0.0044895
