layer,p1,p2,corr,n
all,Hf,Q,0.540778,1873367
all,Hf,OBgood,0.307263,1873367
all,Hf,Pe,0.664875,1873367
all,Hf,D,0.383298,1873367
all,Hf,P,0.330527,1873367
all,Hf,IS,-0.00472263,1873367
all,Q,OBgood,0.858878,1873367
all,Q,Pe,0.860597,1873367
all,Q,D,0.856647,1873367
all,Q,P,0.813026,1873367
all,Q,IS,-0.248677,1873367
all,OBgood,Pe,0.664455,1873367
all,OBgood,D,0.956708,1873367
all,OBgood,P,0.94832,1873367
all,OBgood,IS,-0.326231,1873367
all,Pe,D,0.785713,1873367
all,Pe,P,0.725417,1873367
all,Pe,IS,-0.209554,1873367
all,D,P,0.991232,1873367
all,D,IS,-0.323685,1873367
all,P,IS,-0.341953,1873367
substituent,Hf,Q,0.530878,117952
substituent,Hf,OBgood,0.348512,117952
substituent,Hf,Pe,0.653917,117952
substituent,Hf,D,0.39423,117952
substituent,Hf,P,0.348912,117952
substituent,Hf,IS,-0.0433531,117952
substituent,Q,OBgood,0.889337,117952
substituent,Q,Pe,0.856427,117952
substituent,Q,D,0.844267,117952
substituent,Q,P,0.799695,117952
substituent,Q,IS,-0.277836,117952
substituent,OBgood,Pe,0.739863,117952
substituent,OBgood,D,0.968369,117952
substituent,OBgood,P,0.953326,117952
substituent,OBgood,IS,-0.352735,117952
substituent,Pe,D,0.809811,117952
substituent,Pe,P,0.754937,117952
substituent,Pe,IS,-0.249464,117952
substituent,D,P,0.991118,117952
substituent,D,IS,-0.359966,117952
substituent,P,IS,-0.381184,117952
scaffold,Hf,Q,0.531525,77998
scaffold,Hf,OBgood,0.353818,77998
scaffold,Hf,Pe,0.657585,77998
scaffold,Hf,D,0.394284,77998
scaffold,Hf,P,0.347136,77998
scaffold,Hf,IS,0.0469505,77998
scaffold,Q,OBgood,0.907263,77998
scaffold,Q,Pe,0.876459,77998
scaffold,Q,D,0.870054,77998
scaffold,Q,P,0.83355,77998
scaffold,Q,IS,-0.319638,77998
scaffold,OBgood,Pe,0.770149,77998
scaffold,OBgood,D,0.966064,77998
scaffold,OBgood,P,0.954351,77998
scaffold,OBgood,IS,-0.426256,77998
scaffold,Pe,D,0.838231,77998
scaffold,Pe,P,0.791106,77998
scaffold,Pe,IS,-0.251068,77998
scaffold,D,P,0.992854,77998
scaffold,D,IS,-0.413199,77998
scaffold,P,IS,-0.434958,77998
linker,Hf,Q,0.5458,1677417
linker,Hf,OBgood,0.307838,1677417
linker,Hf,Pe,0.666437,1677417
linker,Hf,D,0.386469,1677417
linker,Hf,P,0.333089,1677417
linker,Hf,IS,-0.00713081,1677417
linker,Q,OBgood,0.854418,1677417
linker,Q,Pe,0.862152,1677417
linker,Q,D,0.856644,1677417
linker,Q,P,0.812644,1677417
linker,Q,IS,-0.241854,1677417
linker,OBgood,Pe,0.658809,1677417
linker,OBgood,D,0.955471,1677417
linker,OBgood,P,0.947633,1677417
linker,OBgood,IS,-0.317495,1677417
linker,Pe,D,0.784626,1677417
linker,Pe,P,0.723487,1677417
linker,Pe,IS,-0.206213,1677417
linker,D,P,0.99114,1677417
linker,D,IS,-0.315203,1677417
linker,P,IS,-0.332991,1677417
