fragment,chemotype,layer,n_attach,frag_heavy,n_total_pairs,n_contexts,A_Hf,s_Hf,n_Hf,fpos_Hf,t_Hf,A_Q,s_Q,n_Q,fpos_Q,t_Q,A_OBgood,s_OBgood,n_OBgood,fpos_OBgood,t_OBgood,A_Pe,s_Pe,n_Pe,fpos_Pe,t_Pe,A_D,s_D,n_D,fpos_D,t_D,A_P,s_P,n_P,fpos_P,t_P,A_IS,s_IS,n_IS,fpos_IS,t_IS
[*:1]c1c(N)nnn1[*:2],azole_ring,linker,2,6,47154,2997,1.45958,36.8463,47154,0.618929,8.60186,-55.8238,117.267,47154,0.352717,-103.372,-7.4104,12.9814,47154,0.208848,-123.96,0.0120415,0.0640535,47154,0.560843,40.8221,-0.0603117,0.330916,47154,0.403126,-39.5771,-0.630609,2.6882,47154,0.381495,-50.9398,14.1698,92.6633,47154,0.582347,33.206
[*:1]c1c(C)nnn1[*:2],azole_ring,linker,2,6,46662,2966,-8.00582,36.4376,46662,0.45611,-47.4611,-80.5189,120.363,46662,0.284771,-144.506,-23.2643,13.3119,46662,0,-377.514,-0.0163426,0.0632683,46662,0.391218,-55.7978,-0.525665,0.332365,46662,0.115147,-341.645,-4.54482,2.74136,46662,0.107925,-358.124,30.8595,101.784,46662,0.648065,65.4923
[*:1]c1c(O)nnn1[*:2],azole_ring,linker,2,6,46318,3002,-36.0739,36.2137,46318,0.125545,-214.385,-11.7045,115.443,46318,0.46021,-21.8203,2.38601,13.0115,46318,0.461505,39.4658,-0.0253346,0.0615271,46318,0.332765,-88.618,0.0230807,0.331017,46318,0.522907,15.0063,0.319803,2.69685,46318,0.542251,25.5211,-14.1604,93.185,46318,0.432834,-32.7043
[*:1]c1c(N=[N+]=[N-])nnn1[*:2],azide,linker,2,8,45329,2915,82.8697,35.5659,45329,0.959143,496.077,90.7907,114.379,45329,0.759911,168.999,3.82226,13.0935,45329,0.522646,62.1514,0.0548211,0.06342,45329,0.80004,184.039,0.113943,0.338283,45329,0.605153,71.7126,0.610932,2.74017,45329,0.576673,47.4683,-13.4822,94.4932,45329,0.44669,-30.3771
[*:1]c1c([N+](=O)[O-])nnn1[*:2],nitro,linker,2,8,45162,2952,6.56831,36.6522,45162,0.688411,38.0837,156.962,122.616,45162,0.945463,272.041,15.8148,13.3658,45162,0.83816,251.453,0.0577708,0.0626915,45162,0.827798,195.833,0.408742,0.332011,45162,0.921638,261.627,3.44964,2.71214,45162,0.918892,270.302,-34.056,94.7714,45162,0.325938,-76.3666
[*:1]c1cnn([*:2])n1,azole_ring,linker,2,5,44909,2913,-3.01736,36.6407,44909,0.546683,-17.4514,-1.49594,116.624,44909,0.500367,-2.71827,-7.73807,13.3039,44909,0.210247,-123.259,0.00899432,0.0624853,44909,0.53791,30.504,-0.1609,0.332416,44909,0.266717,-102.575,-1.52319,2.69698,44909,0.23247,-119.686,6.21639,96.0338,44909,0.540938,13.7177
[*:1]c1nc([*:2])n(C)n1,azole_ring,linker,2,6,44760,3273,-43.0679,36.3842,44760,0.0681412,-250.43,-215.429,122.665,44760,0.00507149,-371.559,-23.2554,13.4164,44760,0,-366.719,-0.123145,0.0648509,44760,0.0113494,-401.741,-0.707904,0.337448,44760,0.0090706,-443.826,-5.56952,2.75107,44760,0.0154155,-428.313,51.8648,118.753,44760,0.694861,92.4005
[*:1]c1n[nH]c([*:2])n1,azole_ring,linker,2,5,44740,3241,-37.9441,36.6509,44740,0.101453,-218.982,-147.094,121.174,44740,0.0991954,-256.765,-8.01728,13.4652,44740,0.207622,-125.94,-0.101785,0.0652009,44740,0.0473402,-330.2,-0.281365,0.343745,44740,0.161645,-173.134,-1.96975,2.75442,44740,0.185203,-151.262,-8.03202,97.7982,44740,0.47823,-17.3717
[*:1]c1c(N[N+](=O)[O-])nnn1[*:2],nitramine,linker,2,9,44530,2850,15.8769,35.9297,44530,0.793645,93.248,121.655,119.098,44530,0.855558,215.552,14.6145,13.3135,44530,0.75174,231.643,0.0690329,0.0601482,44530,0.898922,242.192,0.406429,0.327363,44530,0.925556,261.988,3.37498,2.67836,44530,0.917067,265.906,-46.1389,94.2623,44530,0.280732,-103.289
[*:1]c1cn([*:2])nn1,azole_ring,linker,2,5,44267,2951,0.49298,36.5523,44267,0.602413,2.83763,11.4729,117.192,44267,0.540809,20.5974,-7.78377,13.3342,44267,0.205977,-122.818,0.0199823,0.0632632,44267,0.605372,66.4561,-0.131953,0.332735,44267,0.306865,-83.4373,-1.30968,2.70296,44267,0.266451,-101.945,11.0858,94.9915,44267,0.561592,24.5541
[*:1]c1nc([*:2])n(N)n1,azole_ring,linker,2,6,44238,3271,-14.0694,36.6712,44238,0.383833,-80.695,-115.501,115.632,44238,0.169967,-210.09,-7.58429,13.0594,44238,0.200145,-122.149,-0.0361312,0.0610263,44238,0.288982,-124.527,-0.141802,0.329664,44238,0.289706,-90.4706,-1.1286,2.69031,44238,0.290926,-88.2344,17.27,94.697,44238,0.601248,38.3579
