p1,p2,pearson,spearman,n
Hf,Q,0.551804,0.564877,108838
Hf,OBgood,0.347106,0.338322,108838
Hf,Pe,0.688255,0.704126,108838
Hf,D,0.413479,0.403925,108838
Hf,P,0.362679,0.36131,108838
Hf,IS,0.0257602,0.00907551,108838
Q,OBgood,0.902774,0.881476,108838
Q,Pe,0.867146,0.848439,108838
Q,D,0.898983,0.882079,108838
Q,P,0.872704,0.863551,108838
Q,IS,-0.390743,-0.43165,108838
OBgood,Pe,0.727817,0.700001,108838
OBgood,D,0.973148,0.975886,108838
OBgood,P,0.971426,0.980082,108838
OBgood,IS,-0.504443,-0.584311,108838
Pe,D,0.822524,0.791922,108838
Pe,P,0.775295,0.753348,108838
Pe,IS,-0.308445,-0.349613,108838
D,P,0.994372,0.997822,108838
D,IS,-0.49618,-0.56357,108838
P,IS,-0.519958,-0.572362,108838
