frag_from,frag_to,chemotype_from,chemotype_to,layer,cross_layer,undirected_key,direction,n_pairs,n_contexts,core_heavy,frag_heavy_max,frag_heavy_diff,frag_ratio,core_over_frag,mean_d_Hf,std_d_Hf,z_Hf,p_Hf,sign_consistency_Hf,sig_Hf,mean_d_Q,std_d_Q,z_Q,p_Q,sign_consistency_Q,sig_Q,mean_d_OBgood,std_d_OBgood,z_OBgood,p_OBgood,sign_consistency_OBgood,sig_OBgood,mean_d_Pe,std_d_Pe,z_Pe,p_Pe,sign_consistency_Pe,sig_Pe,mean_d_D,std_d_D,z_D,p_D,sign_consistency_D,sig_D,mean_d_P,std_d_P,z_P,p_P,sign_consistency_P,sig_P,mean_d_IS,std_d_IS,z_IS,p_IS,sign_consistency_IS,sig_IS,composite_z,composite_gated,n_improve,n_worsen,has_tradeoff,composite_props
[*:1]c1nc([*:2])n(C)n1,[*:1]c1nnn([*:2])c1[N+](=O)[O-],azole_ring,nitro,linker,False,*c1nc(*)n(C)n1||*c1nnn(*)c1[N+](=O)[O-],canonical,380,380,12.6132,8,2,0.388102,1.57664,52.2643,9.26818,1.04191,1.41815e-289,1,True,385.099,108.043,2.53326,9.83565e-218,1,True,38.8949,7.3388,2.16261,1.0811e-279,1,True,0.189782,0.0492456,2.40949,1.02094e-229,1,True,1.11964,0.149191,2.49042,0,1,True,9.00027,1.10172,2.43739,0,1,True,-89.9962,124.494,-0.880055,1.47471e-36,0.197368,True,13.0751,13.0751,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:1]c1nnn(N[N+](=O)[O-])c1[*:2],azole_ring,nitramine,linker,False,*c1nc(*)n(C)n1||*c1nnn(N[N+](=O)[O-])c1*,canonical,438,438,12.5799,9,3,0.417055,1.39777,61.8014,4.7956,1.23204,0,1,True,352.907,102.952,2.3215,6.95375e-244,1,True,37.8725,7.26572,2.10576,0,1,True,0.199477,0.0459301,2.53258,5.86648e-286,1,True,1.10975,0.153576,2.46841,0,1,True,8.88593,1.00128,2.40643,0,1,True,-112.443,127.593,-1.09956,1.34226e-56,0.143836,True,13.0667,13.0667,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:2]c1nnn([*:1])c1[N+](=O)[O-],azole_ring,nitro,linker,False,*c1nc(*)n(C)n1||*c1nnn(*)c1[N+](=O)[O-],canonical,320,320,12.6438,8,2,0.387526,1.58047,52.2394,9.08801,1.04142,1.23167e-246,1,True,382.026,101.921,2.51305,4.44521e-190,1,True,38.72,7.16144,2.15288,2.04727e-238,1,True,0.18718,0.0463596,2.37646,9.59476e-200,1,True,1.11662,0.158201,2.48369,2.14206e-274,1,True,9.00954,1.19588,2.4399,2.90256e-283,1,True,-93.1702,123.883,-0.911093,5.45627e-33,0.234375,True,13.0074,13.0074,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:2]c1nnn([N+](=O)[O-])c1[*:1],azole_ring,nitro,linker,False,*c1nc(*)n(C)n1||*c1nnn([N+](=O)[O-])c1*,canonical,413,413,12.5133,8,2,0.389991,1.56416,51.4728,4.57587,1.02613,0,1,True,383.096,107.971,2.52009,9.372e-236,1,True,39.0033,7.01951,2.16863,0,1,True,0.186772,0.0506798,2.37128,4.60391e-242,1,True,1.11785,0.166787,2.48642,0,1,True,8.97645,1.21755,2.43094,0,1,True,-87.8421,124.875,-0.858991,6.22396e-38,0.213075,True,13.0035,13.0035,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:2]c1nnn(N[N+](=O)[O-])c1[*:1],azole_ring,nitramine,linker,False,*c1nc(*)n(C)n1||*c1nnn(N[N+](=O)[O-])c1*,canonical,399,399,12.7243,9,3,0.414282,1.41381,62.0044,4.7961,1.23609,0,1,True,347.467,102.492,2.28571,1.51601e-220,1,True,37.4856,7.29087,2.08425,1.51249e-288,1,True,0.198402,0.0464376,2.51893,6.14888e-258,1,True,1.10229,0.166018,2.45183,0,1,True,8.82807,1.0952,2.39076,0,1,True,-114.128,112.455,-1.11604,2.80066e-63,0.105263,True,12.9676,12.9676,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:1]c1c([N+](=O)[O-])nnn1[*:2],azole_ring,nitro,linker,False,*c1c([N+](=O)[O-])nnn1*||*c1nc(*)n(C)n1,reverse,353,353,12.6176,8,2,0.388019,1.5772,49.381,9.65235,0.984434,1.04555e-254,1,True,374.384,104.239,2.46278,1.88509e-203,1,True,38.8366,7.27122,2.15936,4.6318e-261,1,True,0.181946,0.0460742,2.31,5.30945e-217,1,True,1.11121,0.152086,2.47167,9.44451e-308,1,True,8.98318,1.14572,2.43277,0,1,True,-92.2844,122.26,-0.902431,1.99872e-36,0.192635,True,12.821,12.821,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:1]c1nnn([N+](=O)[O-])c1[*:2],azole_ring,nitro,linker,False,*c1nc(*)n(C)n1||*c1nnn([N+](=O)[O-])c1*,canonical,473,473,12.814,8,2,0.384358,1.60174,51.154,4.73743,1.01978,0,1,True,373.658,108.435,2.458,3.06629e-264,1,True,38.2647,7.09104,2.12756,0,1,True,0.182523,0.0450136,2.31733,2.27727e-295,1,True,1.10042,0.148826,2.44767,0,1,True,8.91859,1.0594,2.41527,0,1,True,-89.7223,116.868,-0.877377,1.6111e-49,0.175476,True,12.7856,12.7856,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:2]c1nc([*:1])n(C)n1,[*:1]c1c(N[N+](=O)[O-])nnn1[*:2],azole_ring,nitramine,linker,False,*c1c(N[N+](=O)[O-])nnn1*||*c1nc(*)n(C)n1,reverse,364,364,12.6044,9,3,0.416582,1.40049,56.9106,9.15541,1.13454,2.26787e-292,1,True,336.709,99.4979,2.21494,4.51282e-201,1,True,38.0062,7.82894,2.1132,1.18495e-254,1,True,0.188815,0.0462136,2.39722,8.98798e-229,1,True,1.10638,0.152627,2.46091,0,1,True,8.89084,1.01608,2.40776,0,1,True,-106.088,124.846,-1.03742,7.47859e-45,0.17033,True,12.7286,12.7286,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:2]c1nnn(N=[N+]=[N-])c1[*:1],azole_ring,azide,linker,False,*c1nc(*)n(C)n1||*c1nnn(N=[N+]=[N-])c1*,canonical,404,404,12.5594,8,2,0.389116,1.56993,133.156,4.31233,2.65452,0,1,True,335.997,85.3622,2.21026,1.32502e-247,1,True,27.1119,5.81703,1.50746,1.18536e-275,1,True,0.201815,0.0586196,2.56226,8.98571e-226,1,True,0.886551,0.183251,1.97195,6.64125e-282,1,True,6.68431,0.982775,1.8102,0,1,True,-21.2199,111.084,-0.207506,0.000143085,0.40099,True,12.7167,12.7167,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:1]c1c(N[N+](=O)[O-])nnn1[*:2],azole_ring,nitramine,linker,False,*c1c(N[N+](=O)[O-])nnn1*||*c1nc(*)n(C)n1,reverse,350,350,12.7514,9,3,0.413766,1.41683,58.2782,8.21008,1.1618,7.55245e-301,1,True,330.229,99.1497,2.17232,3.53102e-191,1,True,37.2423,7.3906,2.07072,2.39944e-250,1,True,0.190718,0.0466427,2.42138,3.84235e-220,1,True,1.10491,0.155072,2.45764,2.08487e-301,1,True,8.95942,1.07858,2.42633,0,1,True,-106.328,116.143,-1.03976,3.68125e-48,0.125714,True,12.7102,12.7102,6,0,False,Hf|Q|OBgood|Pe|D|P
